topology,role,fold,distance_m,family,hand_pca_x,hand_pca_y,gnn_pca_x,gnn_pca_y
tetrahedron,heldout,node_4,0.3672243590834543,tetrahedron,-7.650679993448796,2.2212436148342465,-12.383499,4.309157
henneberg_n5_1tube_1,train,node_4,6.668851278935244,henneberg,-3.370616607087485,1.0995815970699285,-7.7967253,0.13359608
henneberg_n6_1tube_2,train,node_4,1.9535435120503362,henneberg,-2.567921351349721,-5.128906802697615,-3.3966572,-8.895142
henneberg_n6_2tube_1,train,node_4,4.384397549329486,henneberg,-0.16819545830477056,0.9849352937701771,-1.6619986,5.1615705
octahedron,train,node_4,17.368792360967486,octahedron,-3.5557084062159356,-0.5138643273632423,-1.6175263,-9.409911
henneberg_n8_1tube_57,train,node_4,2.524570698260195,henneberg,3.001133102251357,-2.4797650614975253,6.506491,0.27502733
henneberg_n8_2tube_187,train,node_4,2.1297420243841167,henneberg,2.168659142386819,-0.19989448520027445,4.6287007,-1.6824417
henneberg_n8_3tube_64,train,node_4,2.359146759081008,henneberg,3.2849969539142485,1.8502544535734964,3.7230022,2.8925314
usevitch_210272254_p1,train,node_4,3.4423682098528325,usevitch,2.0338562620430976,0.1874588816992684,5.789427,-0.30402547
usevitch_60243677150_p1,train,node_4,1.8970233302833266,usevitch,4.034112418538724,0.6375510351525514,5.975306,3.314606
