topology,role,fold,distance_m,family,hand_pca_x,hand_pca_y,gnn_pca_x,gnn_pca_y
usevitch_60243677150_p1,heldout,node_9,0.27395588593730014,usevitch,4.034112418538724,0.6375510351525514,-6.1988454,-0.9951442
tetrahedron,train,node_9,3.816891159831011,tetrahedron,-7.650679993448796,2.2212436148342465,11.278143,-4.6549997
henneberg_n5_1tube_1,train,node_9,6.260689311837556,henneberg,-3.370616607087485,1.0995815970699285,8.804091,-3.5756183
henneberg_n6_1tube_2,train,node_9,2.2867469398170996,henneberg,-2.567921351349721,-5.128906802697615,3.532974,8.150059
henneberg_n6_2tube_1,train,node_9,10.844175655502047,henneberg,-0.16819545830477056,0.9849352937701771,2.5130925,-4.4810715
octahedron,train,node_9,15.094501077666841,octahedron,-3.5557084062159356,-0.5138643273632423,4.2798047,7.3204374
henneberg_n8_1tube_57,train,node_9,2.2833532125819964,henneberg,3.001133102251357,-2.4797650614975253,-4.8137083,-1.8892289
henneberg_n8_2tube_187,train,node_9,2.5395092222549858,henneberg,2.168659142386819,-0.19989448520027445,-4.779885,3.5807493
henneberg_n8_3tube_64,train,node_9,2.039209940074208,henneberg,3.2849969539142485,1.8502544535734964,-5.7102575,-3.3584747
usevitch_210272254_p1,train,node_9,3.044114487995241,usevitch,2.0338562620430976,0.1874588816992684,-4.08468,-2.0764678
