topology,role,fold,distance_m,family,hand_pca_x,hand_pca_y,gnn_pca_x,gnn_pca_y
henneberg_n6_1tube_2,heldout,node_6,0.5142511769540546,henneberg,-2.567921351349721,-5.128906802697615,2.8798485,-0.8444993
henneberg_n6_2tube_1,heldout,node_6,0.42336192820382607,henneberg,-0.16819545830477056,0.9849352937701771,0.25668648,3.1364942
octahedron,heldout,node_6,0.36247530894402374,octahedron,-3.5557084062159356,-0.5138643273632423,-4.190832,-8.125827
tetrahedron,train,node_6,1.7942985984537347,tetrahedron,-7.650679993448796,2.2212436148342465,5.8355064,-8.850055
henneberg_n5_1tube_1,train,node_6,1.6130634262256383,henneberg,-3.370616607087485,1.0995815970699285,5.813639,-4.400609
henneberg_n8_1tube_57,train,node_6,1.2317998974638165,henneberg,3.001133102251357,-2.4797650614975253,4.160097,2.4154613
henneberg_n8_2tube_187,train,node_6,1.834609063599446,henneberg,2.168659142386819,-0.19989448520027445,3.4832938,4.469235
henneberg_n8_3tube_64,train,node_6,0.8461538457774314,henneberg,3.2849969539142485,1.8502544535734964,4.0676775,3.9823318
usevitch_210272254_p1,train,node_6,2.0430577180905485,usevitch,2.0338562620430976,0.1874588816992684,-14.0012,-0.12465898
usevitch_60243677150_p1,train,node_6,1.489511350083997,usevitch,4.034112418538724,0.6375510351525514,-7.347723,3.037853
