fold,seed,run_id,run_name,run_state,topology,role,evaluation_step,distance_m,selection_mean_distance_m
node_4,3,CV-BASE-node_4_seed_3_job_0002_ac9787478933,CV-BASE-node_4_seed_3_job_0002_ac9787478933,finished,usevitch_210272254_p1,train,5060232,3.3868375664332673,3.4423682098528325
node_4,1,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,CV-BASE-node_4_seed_1_job_0000_6fbd02149508,finished,usevitch_60243677150_p1,train,4341519,1.6563619281730244,1.8970233302833261
node_4,2,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,CV-BASE-node_4_seed_2_job_0001_6252b9754c2e,finished,usevitch_60243677150_p1,train,4341519,1.9730847390667652,1.8970233302833261
node_4,3,CV-BASE-node_4_seed_3_job_0002_ac9787478933,CV-BASE-node_4_seed_3_job_0002_ac9787478933,finished,usevitch_60243677150_p1,train,4341519,2.0616233236101897,1.8970233302833261
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,henneberg_n5_1tube_1,heldout,2700945,0.2703604570351031,0.23727493541499367
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,henneberg_n5_1tube_1,heldout,2700945,0.1521797427049995,0.23727493541499367
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,henneberg_n5_1tube_1,heldout,2700945,0.2892846065048784,0.23727493541499367
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,henneberg_n6_1tube_2,train,1960686,1.7015701254311375,1.9780692650504108
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,henneberg_n6_1tube_2,train,1960686,2.1931930487541296,1.9780692650504108
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,henneberg_n6_1tube_2,train,1960686,2.039444620965966,1.9780692650504108
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,henneberg_n6_2tube_1,train,3301155,2.0171594049097603,1.696383656461337
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,henneberg_n6_2tube_1,train,3301155,1.5371183720180637,1.696383656461337
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,henneberg_n6_2tube_1,train,3301155,1.5348731924561874,1.696383656461337
node_5,1,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,CV-BASE-node_5_seed_1_job_0006_9e85c2645320,finished,henneberg_n8_1tube_57,train,3341169,2.0858532944903283,1.9964547172001834
node_5,2,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,CV-BASE-node_5_seed_2_job_0007_05cfa1ebb7ea,finished,henneberg_n8_1tube_57,train,3341169,2.2270192031819476,1.9964547172001834
node_5,3,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,CV-BASE-node_5_seed_3_job_0008_2e51ef002b4e,finished,henneberg_n8_1tube_57,train,3341169,1.6764916539282744,1.9964547172001834
