topology,seed,run_id,run_name,run_state,run_url,evaluation_step,distance_m,selection_mean_distance_m
octahedron,1,udhk7tzs,paper-v3-octahedron-1-job_0036_6cfdb64da97b,finished,https://wandb.ai/i-suds/paper_results/runs/udhk7tzs,9220608,78.18464603461447,71.22715015349847
octahedron,2,p6gckaix,paper-v3-octahedron-2-job_0037_02bfb84b2be0,finished,https://wandb.ai/i-suds/paper_results/runs/p6gckaix,9220608,52.998190253696905,71.22715015349847
octahedron,3,e1lcvjsd,paper-v3-octahedron-3-job_0038_9abfe832a682,finished,https://wandb.ai/i-suds/paper_results/runs/e1lcvjsd,9220608,82.49861417218405,71.22715015349847
tetrahedron,1,4983yjq0,paper-v3-tetrahedron-1-job_0018_8199592eac27,finished,https://wandb.ai/i-suds/paper_results/runs/4983yjq0,6761472,23.46345270104023,18.018882834415113
tetrahedron,2,xxjuvs2h,paper-v3-tetrahedron-2-job_0019_56d6d52a30ec,finished,https://wandb.ai/i-suds/paper_results/runs/xxjuvs2h,6761472,22.483017203717655,18.018882834415113
tetrahedron,3,kri20h5n,paper-v3-tetrahedron-3-job_0020_1aed9590f989,finished,https://wandb.ai/i-suds/paper_results/runs/kri20h5n,6761472,8.110178598487462,18.018882834415113
usevitch_1514879,1,4ehny6hy,paper-v3-usevitch_1514879-1-job_0033_6ee1681ac95e,finished,https://wandb.ai/i-suds/paper_results/runs/4ehny6hy,8902656,24.79671720565475,40.39204110734047
usevitch_1514879,2,xcnf2cy3,paper-v3-usevitch_1514879-2-job_0034_eef2f4d1d6cd,finished,https://wandb.ai/i-suds/paper_results/runs/xcnf2cy3,8902656,32.8033940042548,40.39204110734047
usevitch_1514879,3,rtn79bws,paper-v3-usevitch_1514879-3-job_0035_179709c26db2,finished,https://wandb.ai/i-suds/paper_results/runs/rtn79bws,8902656,63.57601211211185,40.39204110734047
usevitch_210272254_p1,1,18okntb1,paper-v3-usevitch_210272254_p1-1-job_0030_6869fd45c005,finished,https://wandb.ai/i-suds/paper_results/runs/18okntb1,8001024,14.01170750008833,26.581863284224493
usevitch_210272254_p1,2,747o1mkl,paper-v3-usevitch_210272254_p1-2-job_0031_271f94eb1fb5,finished,https://wandb.ai/i-suds/paper_results/runs/747o1mkl,8001024,27.027456814075055,26.581863284224493
usevitch_210272254_p1,3,4p0pyrvv,paper-v3-usevitch_210272254_p1-3-job_0032_3e80d3206805,finished,https://wandb.ai/i-suds/paper_results/runs/4p0pyrvv,8001024,38.70642553851009,26.581863284224493
usevitch_60243677150_p1,1,2a2p1fd7,paper-v3-usevitch_60243677150_p1-1-job_0027_bc220afd5982,finished,https://wandb.ai/i-suds/paper_results/runs/2a2p1fd7,9641472,49.96599127235154,45.47937063513268
usevitch_60243677150_p1,2,d8f37adp,paper-v3-usevitch_60243677150_p1-2-job_0028_65ff4aa814fc,finished,https://wandb.ai/i-suds/paper_results/runs/d8f37adp,9641472,25.837387991491333,45.47937063513268
usevitch_60243677150_p1,3,8ehxzk03,paper-v3-usevitch_60243677150_p1-3-job_0029_2609eae8b06e,finished,https://wandb.ai/i-suds/paper_results/runs/8ehxzk03,9641472,60.63473264155518,45.47937063513268
