fold,topology,role,distance_m,distance_std_m,n_seeds,hand_feature_knn_distance,gnn_embedding_knn_distance,family,n_nodes,n_edges,redundancy,algebraic_connectivity,diameter,n_articulation_points,n_bridges,spectral_radius,static_rigidity,degree_mean,degree_max,degree_min,degree_std,n_tubes,n_connectors,tube_fraction,n_active_nodes,n_passive_nodes,active_node_fraction,active_centroid_offset,active_dispersion,passive_dispersion,active_passive_separation
node_5,henneberg_n5_1tube_1,heldout,0.23727493541499367,0.07429956073256343,3,4.92065932941139,16.60524559020996,henneberg,5,9,0,2.999999999999999,2.0,0,0,3.6457513110645903,0.6086697090894637,3.6,4.0,3.0,0.4898979485566356,9,5,0.6428571428571429,8,2,0.8,1.740595377349885e-12,0.321583678908928,0.4058802823673262,8.703140004180084e-12
node_5,henneberg_n6_1tube_2,train,1.9780692650504108,0.2514924957518253,3,6.2290870399636376,14.041263580322266,henneberg,6,12,0,3.9999999999999982,2.0,0,0,4.0,0.9999999995696868,4.0,4.0,4.0,0.0,12,8,0.6,11,2,0.8461538461538461,0.0685171955835478,0.4065578140234969,0.0,0.445361771293061
node_5,henneberg_n6_2tube_1,train,1.696383656461337,0.2778022152580877,3,4.695418793443825,14.216079711914062,henneberg,6,12,0,2.5857864376269037,2.0,0,0,4.119026675525918,0.3249056926347491,4.0,5.0,3.0,0.816496580927726,12,10,0.5454545454545454,10,4,0.7142857142857143,0.0401705908574453,0.3067113922060481,0.3253930545013146,0.1405970680010586
node_5,henneberg_n8_1tube_57,train,1.9964547172001834,0.28594444362137955,3,4.18833202461392,12.616040229797363,henneberg,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.356550219838531,4.5,6.0,4.0,0.8660254037844386,18,15,0.5454545454545454,17,2,0.8947368421052632,0.0212309533690332,0.3304981299362936,0.0,0.2016940570058166
node_5,henneberg_n8_2tube_187,train,2.0457060202686317,0.29772810445190717,3,3.358341725924524,12.676517486572266,henneberg,8,18,0,2.7639320225002093,2.0,0,0,4.5413812651491074,0.5244914870885051,4.5,5.0,4.0,0.5,18,16,0.5294117647058824,16,4,0.8,2.811553521631756e-10,0.3519576169689171,0.3028421371635365,1.4057768315564086e-09
node_5,henneberg_n8_3tube_64,train,1.8332297066133785,0.6184100261535527,3,3.597039336295325,13.630219459533691,henneberg,8,18,0,2.267949192431125,2.0,0,0,4.67282370100095,0.4914409060128525,4.5,6.0,3.0,1.0,18,18,0.5,15,6,0.7142857142857143,0.0111948276606879,0.3251376778087803,0.3621419468461989,0.039181896812408
node_5,octahedron,train,9.353897281446965,7.1627460432325805,3,5.844991417662381,17.86896324157715,octahedron,6,12,0,3.999999999999998,2.0,0,0,3.9999999999999982,0.999940558664586,4.0,4.0,4.0,0.0,12,6,0.6666666666666666,8,4,0.6666666666666666,4.811248763111005e-06,0.4082514323430815,0.4082544260404797,1.4433746289333014e-05
node_5,tetrahedron,train,1.2601389069966913,0.8984094676865187,3,7.346402877557274,17.760528564453125,tetrahedron,4,6,0,3.999999999999997,1.0,0,0,3.0,0.9999926663977688,3.0,3.0,3.0,0.0,6,4,0.6,4,4,0.5,0.0,0.3939190329498989,0.3939190329498989,3.570884571009438e-17
node_5,usevitch_210272254_p1,train,2.471491380862159,0.24346500813439928,3,3.4197441134734685,15.266758918762207,usevitch,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.2893082357127181,4.5,6.0,4.0,0.8660254037844386,18,12,0.6,12,6,0.6666666666666666,0.0035277351122862,0.3682349411858803,0.1630361846393583,0.0105832053368587
node_5,usevitch_60243677150_p1,train,1.694265299180877,0.5925577519965542,3,3.373048543962796,15.175642967224121,usevitch,9,21,0,1.999999999999999,2.0,0,0,4.8284271247461925,0.3911519453905961,4.666666666666667,6.0,4.0,0.9428090415820634,21,15,0.5833333333333334,14,7,0.6666666666666666,0.0270834247231329,0.3186688147790406,0.2789770013184567,0.0812502741693988
node_6,henneberg_n5_1tube_1,train,1.6130634262256383,0.1985378581857895,3,6.1589807466150495,16.4832706451416,henneberg,5,9,0,2.999999999999999,2.0,0,0,3.6457513110645903,0.6086697090894637,3.6,4.0,3.0,0.4898979485566356,9,5,0.6428571428571429,8,2,0.8,1.740595377349885e-12,0.321583678908928,0.4058802823673262,8.703140004180084e-12
node_6,henneberg_n6_1tube_2,heldout,0.5142511769540546,0.4795050113297419,3,10.075555450964846,17.01091194152832,henneberg,6,12,0,3.9999999999999982,2.0,0,0,4.0,0.9999999995696868,4.0,4.0,4.0,0.0,12,8,0.6,11,2,0.8461538461538461,0.0685171955835478,0.4065578140234969,0.0,0.445361771293061
node_6,henneberg_n6_2tube_1,heldout,0.42336192820382607,0.14567652923659977,3,5.103233797150182,17.727815628051758,henneberg,6,12,0,2.5857864376269037,2.0,0,0,4.119026675525918,0.3249056926347491,4.0,5.0,3.0,0.816496580927726,12,10,0.5454545454545454,10,4,0.7142857142857143,0.0401705908574453,0.3067113922060481,0.3253930545013146,0.1405970680010586
node_6,henneberg_n8_1tube_57,train,1.2317998974638165,0.1057956216599749,3,4.944001149033798,14.774941444396973,henneberg,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.356550219838531,4.5,6.0,4.0,0.8660254037844386,18,15,0.5454545454545454,17,2,0.8947368421052632,0.0212309533690332,0.3304981299362936,0.0,0.2016940570058166
node_6,henneberg_n8_2tube_187,train,1.834609063599446,0.5362972481030652,3,3.8583938318549063,13.715250968933105,henneberg,8,18,0,2.7639320225002093,2.0,0,0,4.5413812651491074,0.5244914870885051,4.5,5.0,4.0,0.5,18,16,0.5294117647058824,16,4,0.8,2.811553521631756e-10,0.3519576169689171,0.3028421371635365,1.4057768315564086e-09
node_6,henneberg_n8_3tube_64,train,0.8461538457774314,0.2067141316615184,3,3.861490740833647,14.791316986083984,henneberg,8,18,0,2.267949192431125,2.0,0,0,4.67282370100095,0.4914409060128525,4.5,6.0,3.0,1.0,18,18,0.5,15,6,0.7142857142857143,0.0111948276606879,0.3251376778087803,0.3621419468461989,0.039181896812408
node_6,octahedron,heldout,0.36247530894402374,0.24535071529504948,3,5.637865715030185,23.941957473754883,octahedron,6,12,0,3.999999999999998,2.0,0,0,3.9999999999999982,0.999940558664586,4.0,4.0,4.0,0.0,12,6,0.6666666666666666,8,4,0.6666666666666666,4.811248763111005e-06,0.4082514323430815,0.4082544260404797,1.4433746289333014e-05
node_6,tetrahedron,train,1.7942985984537347,1.2174722260403887,3,8.040744305428007,18.7589111328125,tetrahedron,4,6,0,3.999999999999997,1.0,0,0,3.0,0.9999926663977688,3.0,3.0,3.0,0.0,6,4,0.6,4,4,0.5,0.0,0.3939190329498989,0.3939190329498989,3.570884571009438e-17
node_6,usevitch_210272254_p1,train,2.0430577180905485,0.42272460858014066,3,3.900524199483613,15.888091087341309,usevitch,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.2893082357127181,4.5,6.0,4.0,0.8660254037844386,18,12,0.6,12,6,0.6666666666666666,0.0035277351122862,0.3682349411858803,0.1630361846393583,0.0105832053368587
node_6,usevitch_60243677150_p1,train,1.489511350083997,0.19267605289542128,3,4.070218615061331,15.867259979248047,usevitch,9,21,0,1.999999999999999,2.0,0,0,4.8284271247461925,0.3911519453905961,4.666666666666667,6.0,4.0,0.9428090415820634,21,15,0.5833333333333334,14,7,0.6666666666666666,0.0270834247231329,0.3186688147790406,0.2789770013184567,0.0812502741693988
node_8,henneberg_n5_1tube_1,train,1.3277590776556758,0.2967927729801419,3,4.789103815337657,16.21695899963379,henneberg,5,9,0,2.999999999999999,2.0,0,0,3.6457513110645903,0.6086697090894637,3.6,4.0,3.0,0.4898979485566356,9,5,0.6428571428571429,8,2,0.8,1.740595377349885e-12,0.321583678908928,0.4058802823673262,8.703140004180084e-12
node_8,henneberg_n6_1tube_2,train,1.0701478312243122,0.32610667824085726,3,6.061429675123279,16.35117530822754,henneberg,6,12,0,3.9999999999999982,2.0,0,0,4.0,0.9999999995696868,4.0,4.0,4.0,0.0,12,8,0.6,11,2,0.8461538461538461,0.0685171955835478,0.4065578140234969,0.0,0.445361771293061
node_8,henneberg_n6_2tube_1,train,1.0400379869676384,0.30154243483935594,3,5.339884040448626,16.124122619628906,henneberg,6,12,0,2.5857864376269037,2.0,0,0,4.119026675525918,0.3249056926347491,4.0,5.0,3.0,0.816496580927726,12,10,0.5454545454545454,10,4,0.7142857142857143,0.0401705908574453,0.3067113922060481,0.3253930545013146,0.1405970680010586
node_8,henneberg_n8_1tube_57,heldout,0.34668014064002417,0.07717940880183008,3,5.543271476180998,15.223406791687012,henneberg,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.356550219838531,4.5,6.0,4.0,0.8660254037844386,18,15,0.5454545454545454,17,2,0.8947368421052632,0.0212309533690332,0.3304981299362936,0.0,0.2016940570058166
node_8,henneberg_n8_2tube_187,heldout,0.13796641242798524,0.3135565342179148,3,5.096699663155186,16.181901931762695,henneberg,8,18,0,2.7639320225002093,2.0,0,0,4.5413812651491074,0.5244914870885051,4.5,5.0,4.0,0.5,18,16,0.5294117647058824,16,4,0.8,2.811553521631756e-10,0.3519576169689171,0.3028421371635365,1.4057768315564086e-09
node_8,henneberg_n8_3tube_64,heldout,0.19036215783464094,0.24781380167267403,3,5.339562048817991,16.505395889282227,henneberg,8,18,0,2.267949192431125,2.0,0,0,4.67282370100095,0.4914409060128525,4.5,6.0,3.0,1.0,18,18,0.5,15,6,0.7142857142857143,0.0111948276606879,0.3251376778087803,0.3621419468461989,0.039181896812408
node_8,octahedron,train,2.0406783845239995,1.9198461531365452,3,5.180939794734296,17.40241813659668,octahedron,6,12,0,3.999999999999998,2.0,0,0,3.9999999999999982,0.999940558664586,4.0,4.0,4.0,0.0,12,6,0.6666666666666666,8,4,0.6666666666666666,4.811248763111005e-06,0.4082514323430815,0.4082544260404797,1.4433746289333014e-05
node_8,tetrahedron,train,0.7952346243854186,0.21824346070188383,3,6.283489084569044,17.263385772705078,tetrahedron,4,6,0,3.999999999999997,1.0,0,0,3.0,0.9999926663977688,3.0,3.0,3.0,0.0,6,4,0.6,4,4,0.5,0.0,0.3939190329498989,0.3939190329498989,3.570884571009438e-17
node_8,usevitch_210272254_p1,heldout,0.2466999077819132,0.26592163063472496,3,4.532947889250155,18.79145622253418,usevitch,8,18,0,2.999999999999999,2.0,0,0,4.605551275463991,0.2893082357127181,4.5,6.0,4.0,0.8660254037844386,18,12,0.6,12,6,0.6666666666666666,0.0035277351122862,0.3682349411858803,0.1630361846393583,0.0105832053368587
node_8,usevitch_60243677150_p1,train,0.9488410326872055,0.16388056881993404,3,7.130054006978088,16.869037628173828,usevitch,9,21,0,1.999999999999999,2.0,0,0,4.8284271247461925,0.3911519453905961,4.666666666666667,6.0,4.0,0.9428090415820634,21,15,0.5833333333333334,14,7,0.6666666666666666,0.0270834247231329,0.3186688147790406,0.2789770013184567,0.0812502741693988
